id,title,runtime,release_date,budget,revenue,popularity,vote_average,vote_count,belongs_to_collection,missingness_score,has_tagline,has_homepage,num_same_title,changed_title,num_genres,main_genre,Comedy,Drama,Documentary,Science Fiction,Western,TV Movie,Mystery,Romance,Thriller,Animation,Family,Adventure,War,Music,History,Action,Fantasy,Crime,Horror,top10_prod_comps,num_production_companies,main_production_country,num_production_countries,num_spoken_languages,lang_group,is_english_spoken,popularity_percentile,weighted_rating,release_year,Season,return_on_investment_ratio,profit_loss
104,Run Lola Run,81,1998-08-20,1530000,7660911,3.5939,7.291,2343,0,0,1,0,1,True,3,Action,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Other,1,Germany,1,3,3,True,59.08268863659198,7.29059074960334,1998,Summer,4.007131372549019,6130911
105,Back to the Future,116,1985-07-03,19000000,381109762,15.3229,8.318,20452,1,0,1,1,1,False,3,Adventure,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Universal Pictures,2,United States of America,1,1,1,True,96.6844167587662,8.317902885497004,1985,Summer,19.05840852631579,362109762
106,Predator,107,1987-06-12,15000000,98267558,12.907,7.5,8320,1,0,1,1,1,False,4,Science Fiction,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,20th Century Fox,6,United States of America,1,2,2,True,94.9663418064905,7.499859598253844,1987,Summer,5.551170533333333,83267558
107,Snatch,103,2000-09-01,10000000,83600000,9.176,7.814,9275,0,0,1,0,1,False,2,Crime,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Other,1,United Kingdom,1,2,2,True,90.36471415653573,7.8138402023577225,2000,Fall,7.36,73600000
111,Scarface,169,1983-12-09,25000000,66023329,16.2426,8.161,12167,0,0,1,0,2,False,3,Action,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Universal Pictures,2,United States of America,1,2,2,True,97.14658896815031,8.160849664453503,1983,Winter,1.64093316,41023329
112,Italian for Beginners,118,2000-12-07,1000000,16350876,0.9877,6.342,133,0,0,1,0,1,True,3,Comedy,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Other,2,Denmark,1,2,2,False,13.473324625740982,6.341923261718135,2000,Winter,15.350876,15350876
114,Pretty Woman,120,1990-03-23,14000000,463406268,11.5676,7.465,8471,0,0,1,0,1,False,2,Romance,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Other,4,United States of America,1,1,1,True,93.70039184165579,7.4648662319487995,1990,Spring,32.100447714285714,449406268
115,The Big Lebowski,117,1998-03-06,15000000,47010480,7.5714,7.839,11457,0,0,1,0,1,False,2,Comedy,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Other,2,United Kingdom,2,4,4+,True,85.94393650155732,7.838868451481082,1998,Spring,2.134032,32010480
116,Match Point,124,2005-10-26,15000000,85306374,3.9397,7.4,4134,0,0,1,0,1,False,4,Drama,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,Other,3,United Kingdom,3,1,1,True,63.257309353963635,7.399741648626416,2005,Fall,4.6870916,70306374
117,The Untouchables,119,1987-06-03,25000000,76270454,7.5262,7.759,5775,0,0,1,0,1,False,3,Crime,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,Paramount Pictures,2,United States of America,1,1,1,True,85.81332261629659,7.758752894229611,1987,Summer,2.05081816,51270454
118,Charlie and the Chocolate Factory,115,2005-07-13,150000000,475000000,17.4493,7.043,15430,0,0,1,1,1,False,4,Adventure,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,Warner Bros.,5,United Kingdom,2,1,1,True,97.6087611775344,7.042953905584229,2005,Summer,2.1666666666666665,325000000
120,The Lord of the Rings: The Fellowship of the Ring,179,2001-12-18,93000000,871368364,27.7183,8.42,25897,1,0,1,1,1,False,3,Adventure,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,New Line Cinema,3,New Zealand,2,1,1,True,99.09575002511805,8.419919365088818,2001,Winter,8.369552301075268,778368364
121,The Lord of the Rings: The Two Towers,179,2002-12-18,79000000,926287400,19.1822,8.404,22507,1,0,1,1,1,False,3,Adventure,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,New Line Cinema,3,New Zealand,2,1,1,True,98.07093338691851,8.403907931272002,2002,Winter,10.725156962025316,847287400
122,The Lord of the Rings: The Return of the King,201,2003-12-17,94000000,1118888979,24.2529,8.483,25000,1,0,1,1,1,False,3,Adventure,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,New Line Cinema,3,New Zealand,2,1,1,True,98.85461669848287,8.482913952124726,2003,Winter,10.903074244680852,1024888979
